topic_id,topic_abbr,topic,date,standard_id,required_reading,req_chapter,optional_reading,opt_chapter,writing_assignment,project_assignment,slides,link,code,future
32,leaflet_lab,Lab: Mapping Point Data in Leaflet,11/20/26,,,,,,,,,[Leaflet Guide](https://rstudio.github.io/leaflet/);[Lab 9 Instructions](labs/lab9.html),[MP3 Template](https://moodle.smith.edu/mod/url/view.php?id=1384780) Your team name should be a string with your team members' last names.,
33,polygon_map,Polygon Mapping in Leaflet,11/23/26,,baumerModernDataScience2021,17. Working with geospatial data  (17.4-17.8),,,,Project 3 Assigned,Course slides are [here](slides/polygon_mapping.html),[Leaflet Guide](https://rstudio.github.io/leaflet/),,
34,no_class2,No Class,11/25/26,,,,,,,,,,,
35,no_class3,No Class,11/27/26,,,,,,,,,,,
36,chloropleth,How to Lie with Maps,11/30/26,,,,,,[Lab 9](labs/lab9.html) Due,,Course slides are [here](slides/how_to_lie.html),Exericse Instructions[here](exercises/how_to_lie.html);[Leaflet Guide](https://rstudio.github.io/leaflet/),,
37,polygon_lap,Lab: Mapping Polygon Data with Leaflet,12/2/26,,,,,,,,,[Leaflet Guide](https://rstudio.github.io/leaflet/);[Lab 10 Instructions](labs/lab10.html),,
38,review2,Review,12/4/26,,,,,,,,,Final Review [here](final-review.html),,
39,TBD,Work on Group Projects in Class,12/7/26,,,,,,,,,,,
40,apis,Working with APIs,12/9/26,,,,,,[Lab 10](labs/lab10.html) Due,,Course slides are [here](slides/apis.html),,,
41,api_lab,Lab: Working with APIs,12/11/26,,,,,,,Project 3 Due,,,,
42,conclusion,Wrap-up,12/14/26,,,,,,,,,,,
